PR_ref,commenter,month
"jenkinsci/hpe-application-automation-tools-plugin/476","AppVeyorBot","2022-01"
"jenkinsci/hpe-application-automation-tools-plugin/476","AppVeyorBot","2022-01"
"jenkinsci/hpe-application-automation-tools-plugin/476","AppVeyorBot","2022-01"
"jenkinsci/servicenow-cicd-plugin/28","tdprot","2023-04"
"jenkinsci/servicenow-cicd-plugin/28","basil","2023-04"
"jenkinsci/bom/859","timja","2022-01"
"jenkinsci/command-launcher-plugin/36","jglick","2022-01"
"jenkinsci/command-launcher-plugin/36","batmat","2022-01"
"jenkinsci/command-launcher-plugin/36","jglick","2022-01"
"jenkinsci/apache-httpcomponents-client-4-api-plugin/80","daniel-beck","2022-07"
"jenkinsci/configuration-as-code-plugin/1843","jetersen","2022-01"
"jenkinsci/configuration-as-code-plugin/1843","jetersen","2022-01"
"jenkinsci/configuration-as-code-plugin/1843","jetersen","2022-01"
"jenkinsci/configuration-as-code-plugin/1843","timja","2022-01"
"jenkinsci/configuration-as-code-plugin/1843","timja","2022-01"
"jenkinsci/opentelemetry-plugin/307","cyrille-leclerc","2022-01"
"jenkinsci/opentelemetry-plugin/307","kuisathaverat","2022-01"
"jenkinsci/opentelemetry-plugin/307","kuisathaverat","2022-02"
"jenkinsci/opentelemetry-plugin/307","cyrille-leclerc","2022-01"
"jenkinsci/opentelemetry-plugin/307","cyrille-leclerc","2022-01"
"jenkinsci/opentelemetry-plugin/307","cyrille-leclerc","2022-01"
"jenkinsci/opentelemetry-plugin/307","cyrille-leclerc","2022-01"
"jenkinsci/opentelemetry-plugin/307","cyrille-leclerc","2022-01"
"jenkinsci/opentelemetry-plugin/307","cyrille-leclerc","2022-01"
"jenkinsci/opentelemetry-plugin/307","cyrille-leclerc","2022-01"
"jenkinsci/opentelemetry-plugin/307","kuisathaverat","2022-01"
"jenkinsci/opentelemetry-plugin/307","kuisathaverat","2022-01"
"jenkinsci/opentelemetry-plugin/307","kuisathaverat","2022-01"
"jenkinsci/opentelemetry-plugin/307","cyrille-leclerc","2022-01"
"jenkinsci/opentelemetry-plugin/307","kuisathaverat","2022-02"
"jenkinsci/opentelemetry-plugin/307","cyrille-leclerc","2022-02"
"jenkinsci/jenkins/6222","daniel-beck","2022-01"
"jenkinsci/jenkins/6222","basil","2022-01"
"jenkinsci/jenkins/6222","timja","2022-01"
"jenkinsci/jenkins/6222","jglick","2022-01"
"jenkinsci/jenkins/6222","timja","2022-02"
"jenkinsci/jenkins/6222","timja","2022-04"
"jenkinsci/jenkins/6222","basil","2022-04"
"jenkinsci/jenkins/6222","jglick","2022-01"
"jenkinsci/jenkins/6222","oleg-nenashev","2022-01"
"jenkinsci/jenkins/6222","basil","2022-04"
"jenkinsci/acceptance-test-harness/740","timja","2022-01"
"jenkinsci/acceptance-test-harness/740","timja","2022-01"
"jenkinsci/async-http-client-plugin/33","batmat","2022-01"
"jenkinsci/openstack-cloud-plugin/338","ajrussellsap","2022-01"
"jenkinsci/openstack-cloud-plugin/338","ajrussellsap","2022-02"
"jenkinsci/openstack-cloud-plugin/338","olivergondza","2022-02"
"jenkinsci/openstack-cloud-plugin/338","ajrussellsap","2022-03"
"jenkinsci/openstack-cloud-plugin/338","ajrussellsap","2022-06"
"jenkinsci/openstack-cloud-plugin/338","olivergondza","2022-01"
"jenkinsci/openstack-cloud-plugin/338","olivergondza","2022-01"
